상가명,측정지점,미세먼지(PM-10),미세먼지(PM-2.5),이산화탄소CO2(ppm),폼알데하이드(HCHO),일산화탄소(CO)(ppm),이산화질소(NO2)(ppm),라돈(Rn),총휘발성유기화합물(TVOC)
시청광장,526호 매장 앞,41.9,19.3,796,9.6,2.5,0.051,45.9,39.3
시청광장,625호 매장 앞,46.2,32.4,937,12.3,2.1,0.022,81.8,31.9
을지입구,60호 매장 앞,32.3,14.9,587,3.3,2.3,0.015,8,17
을지입구,120호 매장 앞,27.5,11.2,627,5.3,1.7,0.021,12,22
을지로2구역,을특 12호 앞,52.3,33.1,573,5.3,2.6,0.048,16,130.5
을지로2구역,을특 103호 앞,47.4,24.9,717,7.8,2.6,0.048,14,732.1
을지로3구역,310호 매장 앞,35.6,14.6,576,5.5,2.4,0.032,13,123
을지로3구역,테마존,22.3,9,519,2.4,2.2,0.039,17,129.3
을지로4구역,4-19 매장 앞,20.4,11,693,19.3,1.6,0.037,22,318.2
을지로4구역,4-56 매장 앞,24.3,8.3,622,18.1,1.5,0.03,18,160.1
인현,703호 매장 앞,31.8,18.8,530,10.3,1.9,0.019,24,86
종각,A-4호 매장 앞,92.3,56.7,661,11.6,1.9,0.029,17.4,24.1
종각,F-7호 매장 앞,56.1,43.6,876,23.8,1.9,0.025,24.2,49.4
종로4가,66번 매장 앞,11.6,4.1,593,23.2,2.1,0.021,60,539.3
종로4가,129번 매장 앞,14.7,5.9,481,12.8,1.7,0.018,50,295.8
종오,라1호 매장 앞,88,38.6,866,22.3,2.2,0.035,26,351.4
종오,라7-14호 매장 앞,74.1,34.7,677,9.9,2.2,0.035,17,111.2
동대문,신23호 매장 앞,45.9,26.4,493,8.5,1.9,0.035,26,66.1
동대문,A33호 매장 앞,50.9,31.4,553,8.3,2,0.022,48,93.9
남대문,59호 매장 앞,19.9,7.9,598,9.2,1.7,0.024,13,30.4
남대문,39호 매장 앞,23.2,5.4,679,29.2,1.6,0.016,18,66.9
명동역,F-06호 매장 앞,41.1,15.7,626,7.6,2.4,0.031,8,710.2
명동역,E-02호 매장 앞,42.2,16.6,501,5.4,1.9,0.047,13,76.5
회현,라27호 앞,30.2,13.9,690,16.8,2.4,0.036,16,77.3
회현,라17호 앞,27.3,12.1,552,13,1.8,0.015,15,37.8
명동,가3호 앞,31.3,10.1,525,6.3,2.6,0.014,7,37.9
명동,라13호 앞,38.8,19.2,518,7.1,2.1,0.047,8,65.9
영등포역,55호 매장 앞,37.3,10.1,568,8.5,2.3,0.017,9.8,26.3
영등포역,61호 매장 앞,43.2,23.5,560,6.2,1.8,0.007,6.7,43.2
영등포로터리,98호 앞,31.3,17.2,670,11.2,1.6,0.027,16.1,41.3
영등포로터리,116호 앞,35,19.7,574,11.9,1.5,0.021,13.5,63.6
영등포시장,46호 매장 앞,72.3,38,610,25.6,1.5,0.022,24,147.9
영등포시장,5호 매장 앞,39.5,16.5,694,30.3,1.6,0.023,36,1202.5
강남터미널,T043 매장 앞,84.6,42.6,503,8.5,2.9,0.024,8.3,93
강남터미널,C074 매장 앞,51.6,28.2,596,21.6,1.9,0.035,15.4,252.3
강남터미널,C027 매장앞,68,39,486,7.6,1.9,0.036,13.2,124.1
강남터미널,중앙광장,71.8,35.5,554,10.2,2.1,0.037,10.2,75.9
강남역,E-54호 옆,32.3,13.9,814,10,2.7,0.025,6,60.1
강남역,B-35호 옆,25.7,12.4,963,10.7,2,0.019,10,97.5
강남역,B-03호 앞,29.8,18.6,670,7.5,1.6,0.027,7,75
잠실역,C-4호 매장 앞,34.3,19.7,582,6.4,1.8,0.022,10,39.1
잠실역,C-15호 매장 앞,23,12.8,721,9.8,1.4,0.023,11,42
마전교,12호 매장 앞,43,19,939,28.5,2.2,0.016,27,165.5
청계5가,30호 매장 앞,12.4,4.9,493,16.3,1.1,0.036,13,48
청계6가,16번 매장 앞,27.6,12.3,754,30.3,1.7,0.019,36,81.2
신당,12번 매장 앞,67.8,32.6,519,5.8,3,0.047,26,87.5
신당,107호 매장 앞,60.7,30,559,8.4,3.3,0.04,23,100.1
